,id_criatura,id_personal,id_tratamiento,fecha,hora,fecha_y_hora
0,1,1,1,9671-12-26,13:44,9671-12-26 13:44:00
1,2,2,2,9475-06-27,09:46,9475-06-27 09:46:00
2,3,3,3,9927-12-08,16:16,9927-12-08 16:16:00
3,4,4,4,9064-12-22,08:20,9064-12-22 08:20:00
4,5,5,2,9021-12-26,16:34,9021-12-26 16:34:00
5,6,6,5,9263-05-18,11:55,9263-05-18 11:55:00
6,7,7,6,9027-12-20,16:27,9027-12-20 16:27:00
7,8,8,5,9323-02-04,08:14,9323-02-04 08:14:00
8,9,9,7,9049-05-05,18:02,9049-05-05 18:02:00
9,10,6,6,9860-08-03,18:13,9860-08-03 18:13:00
10,11,10,7,9774-01-10,10:07,9774-01-10 10:07:00
11,12,11,6,9776-11-13,13:47,9776-11-13 13:47:00
12,13,12,8,9518-05-14,17:21,9518-05-14 17:21:00
13,14,13,8,9522-09-28,14:42,9522-09-28 14:42:00
14,15,9,5,9763-09-03,18:41,9763-09-03 18:41:00
15,16,14,9,9172-08-24,13:07,9172-08-24 13:07:00
16,17,7,8,9255-12-20,17:40,9255-12-20 17:40:00
17,18,14,3,9593-09-21,17:38,9593-09-21 17:38:00
18,19,15,5,9150-01-27,10:51,9150-01-27 10:51:00
19,20,15,2,9315-08-29,15:57,9315-08-29 15:57:00
20,21,9,2,9864-02-06,12:35,9864-02-06 12:35:00
21,15,7,6,9014-12-12,18:37,9014-12-12 18:37:00
22,22,5,3,9651-06-25,09:45,9651-06-25 09:45:00
23,23,16,10,9760-02-05,12:02,9760-02-05 12:02:00
24,20,17,8,9143-04-20,09:17,9143-04-20 09:17:00
25,24,18,6,9487-08-25,11:13,9487-08-25 11:13:00
26,25,1,9,9081-11-07,14:56,9081-11-07 14:56:00
27,26,19,3,9962-02-23,15:29,9962-02-23 15:29:00
28,27,20,2,9297-02-13,12:29,9297-02-13 12:29:00
29,28,14,2,9339-10-17,13:07,9339-10-17 13:07:00
30,29,16,10,9263-01-22,09:17,9263-01-22 09:17:00
31,30,16,10,9165-11-08,09:48,9165-11-08 09:48:00
32,31,12,8,9247-07-07,17:50,9247-07-07 17:50:00
33,4,21,4,9734-06-20,11:46,9734-06-20 11:46:00
34,4,12,10,9067-09-16,17:10,9067-09-16 17:10:00
35,32,13,9,9615-02-11,14:02,9615-02-11 14:02:00
36,13,2,10,9676-03-30,09:59,9676-03-30 09:59:00
37,33,4,3,9451-11-26,11:29,9451-11-26 11:29:00
38,18,16,5,9028-01-17,14:19,9028-01-17 14:19:00
39,34,9,6,9893-05-09,15:49,9893-05-09 15:49:00
40,35,22,9,9144-10-04,10:18,9144-10-04 10:18:00
41,36,23,5,9913-05-01,11:28,9913-05-01 11:28:00
42,37,24,8,9129-04-26,13:22,9129-04-26 13:22:00
43,34,8,8,9703-02-10,12:25,9703-02-10 12:25:00
44,38,9,9,9064-09-25,15:50,9064-09-25 15:50:00
45,5,1,8,9833-01-12,18:25,9833-01-12 18:25:00
46,39,25,1,9245-01-21,09:21,9245-01-21 09:21:00
47,40,10,5,9020-10-27,08:55,9020-10-27 08:55:00
48,41,12,3,9671-01-25,10:45,9671-01-25 10:45:00
